Coefficients order=180 Central=C   0:180
Observation time
          B0 angle & Nmax:        0          180





Max Harmonic Order:180              Units: Gauss
 
  l   m      g(uT)      h(uT)
 
    0    0        0.0000000000        0.0000000000
    1    0        2.0531978394        0.0000000000
    1    1        0.1689869640       -0.2688932485
    2    0       -0.1174885255        0.0000000000
    2    1        0.5682753781        0.1045121345
    2    2        1.7183799251        0.0532414431
    3    0        2.2725139076        0.0000000000
    3    1        0.2248848729        0.1924966632
    3    2        0.7472486806       -0.3333071824
    3    3       -0.7362524735        1.2868657272
    4    0       -0.5883386266        0.0000000000
    4    1       -0.1809379299       -0.3292892567
    4    2       -0.0945384191        0.5195668417
    4    3        0.8313551035        0.4689190036
    4    4       -1.6615924176        0.6423028470
    5    0        1.0106423203        0.0000000000
    5    1       -1.1313525104        0.5799549361
    5    2       -0.2557981065        0.6118902279
    5    3        0.2542837250       -0.1867492043
    5    4       -0.2532440794        1.3600257115
    5    5        0.7760661561       -2.1580281751
    6    0       -0.7226463573        0.0000000000
    6    1        0.2403236910        1.1933993695
    6    2       -1.7133236058       -1.2621926516
    6    3       -0.5435511082       -0.1898800560
    6    4        0.7401522618       -0.7599994522
    6    5       -1.6358277382       -1.0808601242
    6    6        0.4210013873        1.6331497677
    7    0       -0.8368894170        0.0000000000
    7    1        0.8719242995       -1.5758612101
    7    2       -0.2594023410       -0.6238105380
    7    3        1.1756656735       -0.8053079209
    7    4        0.4752549171       -1.7778347771
    7    5       -0.6593449632        1.6492477492
    7    6        0.2911298034        0.0852745734
    7    7       -0.8694576947        0.2237040157
    8    0        1.3014675956        0.0000000000
    8    1        0.9943666539       -0.2729387475
    8    2        1.2913129906        1.8531799881
    8    3        0.5993527588       -0.5607276662
    8    4        0.7232482940        1.1915203652
    8    5        0.8147519213        0.6795250550
    8    6       -1.2294921875       -0.0870283967
    8    7        1.1489981678        1.0337476543
    8    8        1.6887799439       -2.8453455295
    9    0       -1.1083207150        0.0000000000
    9    1       -1.8282810638        3.0612198797
    9    2        1.1529297406        0.6785559382
    9    3       -3.3933326895        0.5377649162
    9    4        0.1063704057        0.6416523461
    9    5        0.5769052528       -1.5563441467
    9    6       -0.0595174842        0.3562114320
    9    7        1.7812852399       -1.1271223860
    9    8       -0.2953209286       -0.2169544539
    9    9        1.5131760579        1.6542077317
   10    0       -1.9092470340        0.0000000000
   10    1       -0.9452428392       -0.2571550483
   10    2       -1.9403410942       -1.3762216381
   10    3       -0.8165737591        0.3074633789
   10    4       -0.3190482724       -2.9894923673
   10    5       -0.0775528020       -0.4530416688
   10    6        2.1740541278       -0.1709925803
   10    7       -0.7812060554       -0.7522312957
